"player-name","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 18","tablescraper-selected-row 19","footable-last-visible"
"Vega Soto, Ernesto","1","8:49","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1"
"Velasquez Meza, Diego B.","6","125:46","8","15","3","20","13","3","23.1","4","1","25","16","6","11","17","9","0","13","18"
"Velasquez Uribe, Leandro M.","7","61:18","12","1","0","0","17","5","29.4","8","2","25","12","6","23","29","0","0","2","12"
"Vera Klein, Joaquin A.","5","141:51","26","26","6","23.1","37","18","48.6","17","13","76.5","67","4","28","32","13","0","16","24"
"Vergara Espinoza, Ricardo A.","1","22:21","1","5","2","40","6","4","66.7","1","0","0","14","0","3","3","1","0","1","0"
"Vergara Lopez, Gonzalo","7","209:10","15","32","9","28.1","50","14","28","9","4","44.4","59","4","29","33","9","1","35","20"
"Vergara Martinez, Vicente T.","7","166:26","19","0","0","0","43","14","32.6","35","16","45.7","44","14","39","53","12","1","17","20"
"Vial Mascareno, Sebastian","6","208:23","11","56","19","33.9","32","17","53.1","25","19","76","110","5","26","31","11","1","22","17"
"Vicencio Burgos, Jose L.","4","72:37","6","14","0","0","36","18","50","14","6","42.9","42","6","9","15","5","1","5","3"
"Vidal Fernandez, Fernando G.","7","87:37","12","7","1","14.3","25","18","72","10","6","60","45","2","8","10","9","1","8","6"
"Vidal Troncoso, Rodrigo","1","7:00","1","1","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","0"
"Vildosola Uren, Vicente","3","104:45","8","0","0","0","34","21","61.8","7","5","71.4","47","10","20","30","6","7","4","5"
"Villablanca Vejares, Cristobal","2","8:22","1","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0"
"Villarroel Tapia, Sebastian I.","6","157:39","20","23","3","13","41","17","41.5","14","8","57.1","51","8","34","42","6","3","8","12"
"Villegas Acaino, Daniel","7","99:50","17","30","11","36.7","9","5","55.6","0","0","0","43","6","14","20","10","2","6","9"
"Villegas Quila, Cristian A.","6","148:32","12","22","3","13.6","48","16","33.3","18","12","66.7","53","8","10","18","14","3","7","16"
"Vives Carcamo, Alvaro","2","35:34","3","1","0","0","10","2","20","4","3","75","7","1","6","7","2","0","4","1"
"Wong Tapia, Iann","7","177:46","22","9","2","22.2","55","23","41.8","27","10","37","62","3","27","30","9","1","11","19"
"Zamorano Barrientos, Luis","1","13:52","1","3","0","0","2","0","0","0","0","0","0","1","1","2","1","0","1","1"
"Zanon Reyes, Sebastian","7","115:04","6","15","0","0","20","8","40","10","5","50","21","8","12","20","9","0","2","4"
"Zapata Munoz, Bastian","6","190:10","4","6","0","0","65","38","58.5","22","14","63.6","90","31","40","71","7","14","4","12"
"Zapata Ramirez, Santiago J.","2","33:53","4","8","1","12.5","7","3","42.9","0","0","0","9","4","7","11","3","1","5","3"
"Zapata Ramirez, Sebastian D.","1","23:08","3","3","1","33.3","7","3","42.9","0","0","0","9","2","3","5","1","0","1","0"
