T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Classes
36.5,250,-90.3,5.8,85,-11.4,22.7,-2,100.8,35.6,1
36.5,254,-85.3,4.1,147,-19.4,350.2,0,111.1,51.9,1
36.5,256,-91.7,1.8,99,-10.8,9,11,108,29,1
36.5,264,-83.5,1.9,84,-10.7,31.3,1,110.2,65,1
36.5,271,-83.7,6,87,-9.6,21.1,-3,97.1,25.7,1
36.5,273,-81.8,0.8,188,-18,15.9,7,90.8,22.1,1
36.5,281,-95.9,0.3,157,-24.4,2,0,99.8,4.8,1
36.5,289,-90.6,4.5,166,-11.4,36.7,-7,118.9,75,1
36.5,294,-89.3,3.3,172,-17.8,31.1,-6,98.4,15.7,1
36.5,297,-99.9,2.8,162,-21.7,358.9,2,117.6,37.4,1
36.5,304,-98.1,1.6,95,-12.9,29.5,-2,116.3,61.1,1
36.5,307,-106.4,4.7,186,-17.3,18.6,6,98.3,49.3,1
36.5,312,-89.2,4.1,176,-31,12.9,8,112.9,80.7,1
36.7,114,-41.9,2.3,189,-20.2,8.7,14,71.9,2.2,1
36.7,124,-49.9,5.2,180,-21.1,30.2,-4,79.9,2.2,1
36.7,127,-47.8,3.6,82,-9,9.8,-4,77.4,25.7,1
36.7,130,-50.6,2.2,108,-36.1,297.2,0,80.6,0.7,1
36.7,136,-43.2,0.5,201,-18.6,354.1,-10,73.2,0.1,1
36.7,137,-51.5,4.5,83,-10.9,9.1,5,80.4,12.7,1
36.7,145,-47.2,5.6,72,-5.3,334.1,-4,77.2,0.6,1
36.7,147,-50.4,5,128,-35.1,343.4,2,80.4,0.4,1
36.7,154,-50.5,2.5,87,-6.7,353.8,0,80.5,1.3,1
36.7,158,-47.2,1.2,112,-30,314.7,1,77.2,0.3,1
36.7,166,-49.6,5.4,151,-40.1,25.9,-3,79.6,1.1,1
36.7,217,-56.6,4.4,185,-16.8,18.9,8,85.5,43.6,1
36.7,227,-69,6,87,-10.7,7.8,-11,87,26.5,1
36.7,230,-74.5,3.9,153,-30.1,0,2,104.2,19.4,1
36.7,230,-72.6,5.8,77,-5.6,12.6,-6,83.4,52.8,1
36.7,235,-63.9,4.6,189,-16.3,7.1,-1,93,44.7,1
36.7,236,-63.8,6.2,84,-8.1,20,7,91.8,47.9,1
36.7,246,-57,3,79,-7,13.4,-3,80.1,47.7,1
36.7,250,-69.6,5.8,84,-11.1,22.1,-2,93.1,59.7,1
36.7,254,-68.8,4.1,141,-19.7,345.6,0,98.5,26.3,1
36.7,255,-68.2,1.7,97,-10.6,7.9,10,97,59.8,1
36.7,264,-67,1.9,83,-10.4,31,1,96,44.8,1
36.7,271,-81.1,6,86,-9.4,20.5,-3,91.1,54.9,1
36.7,273,-72.2,0.8,188,-18.1,15.9,7,83.2,48,1
36.7,281,-66.9,0.3,152,-25.1,358.5,0,96.7,23.5,1
36.7,290,-83.3,4.6,166,-11.5,36.8,-7,110.9,77.6,1
36.7,294,-79.1,3.4,171,-17.9,31.2,-6,90.5,20.3,1
36.7,297,-88.2,2.8,158,-22.5,355.3,2,102.2,45.4,1
36.7,304,-93.4,1.6,93,-12.7,29.3,-2,105.7,58.9,1
36.7,306,-90.1,4.6,186,-17.4,18.6,6,86.2,41.3,1
36.7,311,-79.3,4,172,-32.5,10.3,7,104.8,91.3,1
36.7,434,-124.8,5.2,241,-9,86.1,22,126.4,25.8,0
36.7,437,-135.2,1.7,221,-14,62.7,23,126.4,23.4,0
36.7,441,-130.9,0.2,237,-17.6,70.6,29,126.4,23.9,0
36.7,444,-137.7,3.8,240,-15.3,66.1,33,126.4,23.5,0
36.7,448,-136.1,2.4,249,-12.7,90.1,24,126.4,23.6,0
36.7,452,-144.8,0.2,240,-18.4,80.4,22,126.4,23.4,0
36.7,456,-148.8,2.8,255,-8,63.6,51,126.4,23.2,0
36.7,461,-134.2,0.8,238,-14.9,78.5,17,126.4,23.6,0
36.7,465,-137.1,0.8,248,-17.8,80.6,26,126.4,23.4,0
36.7,469,-147.9,0.1,233,-11.5,79.8,32,126.4,23.2,0
36.7,474,-145.5,1.8,254,-14.8,66.4,16,126.4,23.2,0
36.7,478,-144.8,4.6,257,-13.7,94.2,21,126.4,23.2,0
36.7,483,-147,6.1,253,-9.1,102.9,18,126.4,23.2,0
36.7,488,-148.4,5.2,252,-12.9,79.6,16,126.4,23.2,0
36.7,492,-153.9,2.8,239,-15.9,70.2,20,126.4,23.2,0
36.7,497,-147.5,2.3,266,-12.4,81.2,25,126.4,23.2,0
36.7,502,-152.3,0.7,237,-12.9,69.5,33,126.4,23.5,0
36.7,507,-157.2,6.1,239,-13.9,85,21,126.4,24.3,0
36.7,511,-156.3,5.9,251,-14.1,59.3,19,126.4,23.2,0
36.7,516,-151.4,0.4,248,-12.5,90.9,32,126.4,23.2,0
36.7,521,-150.8,1.6,259,-11.7,75.5,24,126.4,23.2,0
36.7,526,-160,0.9,248,-13.6,66.8,16,126.4,23.2,0
36.7,531,-160,5.9,243,-13.2,79,20,126.4,23.6,0
36.7,536,-160,4.7,257,-16,80.9,38,126.4,23.1,0
36.7,541,-160,5.9,245,-20.2,89.5,23,126.4,23.2,0
36.7,547,-160,5.4,243,-18.2,57.8,14,126.4,23.1,0
36.7,552,-160,3.9,239,-13.9,89.2,33,126.4,23.2,0
36.7,557,-160,3.7,246,-15.7,94.5,30,126.4,23.2,0
36.7,562,-160,2.9,248,-17.1,82.3,29,126.4,23.3,0
36.7,567,-160,4,251,-11,86,15,126.4,23.2,0
37,114,-67.9,2.2,188,-20.5,8.5,14,97.9,2.5,1
37,124,-78,5.3,170,-21.3,22,-4,108,5.1,1
37,128,-68.9,3.6,79,-8.5,7.4,-4,98.7,15.7,1
37,130,-63.6,2.2,96,-32.9,286.5,0,93.6,0.2,1
37,136,-76.8,4.4,80,-10.2,6.8,4,103.7,10.7,1
37,137,-67.9,0.6,201,-18.9,353.7,-10,97.9,0.1,1
37,145,-65.6,5.6,69,-4.6,326.7,-4,95.6,0.2,1
37,147,-74.3,5,117,-34.3,335.1,2,104.3,0.7,1
37,154,-75.2,2.5,84,-6.3,350.6,0,105.2,1.7,1
37,158,-71.2,1.2,102,-28.1,305.9,1,101.2,0.9,1
37,166,-79,5.4,142,-41.3,23.2,-2,109,1.6,1
37,217,-81.9,4.3,185,-17,19,8,110.9,40.5,1
37,228,-83.9,6,85,-10.4,6.4,-11,108.1,44.1,1
37,230,-85.5,3.9,147,-31,355.6,2,115.5,8.9,1
37,230,-93.2,5.8,75,-5.2,10.2,-6,103.9,30.5,1
37,235,-90.2,4.6,189,-16.4,7,-1,118.9,50.5,1
37,236,-92.2,6.1,82,-7.6,18.1,6,118.4,52.1,1
37,246,-84,3.1,77,-6.6,11.1,-3,101.3,27.5,1
37,250,-94.1,5.8,82,-10.8,21.4,-2,120.2,59.6,0
37,254,-84.6,4.1,136,-19.8,340.7,0,114.6,7.6,1
37,255,-89.6,1.6,95,-10.4,6.7,10,119.2,39.5,1
37,264,-111.2,1.9,82,-10.2,30.7,1,127.3,50.7,0
37,271,-107.2,6,84,-9.2,19.8,-3,118.7,56.5,1
37,272,-95.1,0.7,188,-18.2,15.9,7,109.1,51.5,1
37,281,-101.5,0.3,147,-25.7,354.8,0,118.9,19.7,1
37,290,-99.1,4.7,165,-11.5,36.9,-7,128.7,21.2,0
37,295,-96.6,3.4,171,-18,31.3,-6,119.3,67.1,1
37,297,-99.5,2.8,153,-23.2,351.5,2,125.7,47.5,0
37,304,-107.6,1.6,92,-12.5,29,-2,134.4,71.5,0
37,306,-108.9,0.6,247,-12,81,26,136.5,46.3,0
37,306,-115.1,4.6,186,-17.4,18.6,6,111.5,38.7,1
37,308,-119.6,1.8,236,-17.4,69.6,21,144.9,89.6,0
37,311,-111.3,6.1,252,-14.3,81.2,18,137.9,51.3,0
37,311,-97.6,3.9,167,-33.9,7.5,7,126.3,82.2,0
37,313,-115.1,1.8,244,-14.8,72.1,50,143.4,82.2,0
37,316,-107.4,2.5,244,-14.2,81.1,17,135.4,43.9,0
37,319,-108.7,2.3,243,-14.1,75.1,25,136.6,46.4,0
37,321,-114.1,0.9,256,-14,73.4,43,142.7,81.5,0
37,324,-107.7,0.5,261,-13.7,77.2,25,137.3,49.5,0
37,327,-115.5,2.6,247,-14,74.9,19,138,52.8,0
37,329,-109.7,0.6,257,-18.1,85.1,16,138.6,57.7,0
37,332,-120,2.8,240,-8.7,84,38,146.1,98,0
37,335,-121.1,6.2,249,-19.5,71.8,30,142,85.8,0
37,337,-123.8,1.9,250,-13.8,83.9,10,143.5,85.9,0
37,340,-122.6,1.9,236,-13,71.9,27,143.6,90.5,0
37,343,-117.8,3.6,242,-15.5,73.1,34,141.6,83,0
37,345,-122.8,5.6,249,-13.3,84.9,25,138.9,58.9,0
37,348,-123,4.5,258,-11.4,91.3,23,146.3,100.9,0
37,351,-111.6,1.8,246,-18.2,76,33,139.5,69.6,0
37,354,-117,4.2,252,-11.5,81,30,140.9,74.3,0
37,356,-120.9,1.5,262,-14.9,73.5,19,142.5,84.3,0
37,359,-110.3,3.9,241,-14.4,83,20,136,50.3,0
37,434,-124.8,5.2,241,-9,86.1,22,141,82,0
37,437,-135.2,1.7,221,-14,62.7,23,148.5,47.6,0
37,441,-130.9,0.2,237,-17.6,70.6,29,144.9,100.8,0
37,444,-137.7,3.8,240,-15.3,66.1,33,146.7,101.5,0
37,448,-136.1,2.4,249,-12.7,90.1,24,144.3,93.9,0
37,452,-144.8,0.2,240,-18.4,80.4,22,139.1,65.6,0
37,456,-148.8,2.8,255,-8,63.6,51,148.5,34.6,0
37,461,-134.2,0.8,238,-14.9,78.5,17,139.1,64.6,0
37,465,-137.1,0.8,248,-17.8,80.6,26,139,60.1,0
37,469,-147.9,0.1,233,-11.5,79.8,32,148,70.4,0
37,474,-145.5,1.8,254,-14.8,66.4,16,148.2,61.7,0
37,478,-144.8,4.6,257,-13.7,94.2,21,146.8,97,0
37,483,-147,6.1,253,-9.1,102.9,18,148.5,31.4,0
37,488,-148.4,5.2,252,-12.9,79.6,16,139.4,59.2,0
37,492,-153.9,2.8,239,-15.9,70.2,20,143.2,83.5,0
37,497,-147.5,2.3,266,-12.4,81.2,25,142.6,82.3,0
37,502,-152.3,0.7,237,-12.9,69.5,33,145.9,103.7,0
37,507,-157.2,6.1,239,-13.9,85,21,138.7,66.1,0
37,511,-156.3,5.9,251,-14.1,59.3,19,148.5,34.7,0
37,516,-151.4,0.4,248,-12.5,90.9,32,147.3,84.5,0
37,521,-150.8,1.6,259,-11.7,75.5,24,138.3,54.9,0
37,526,-160,0.9,248,-13.6,66.8,16,147.1,86.8,0
37,531,-160,5.9,243,-13.2,79,20,135.5,44.3,0
37,536,-160,4.7,257,-16,80.9,38,147.1,89.1,0
37,541,-160,5.9,245,-20.2,89.5,23,145.9,102.4,0
37,547,-160,5.4,243,-18.2,57.8,14,148.5,37.5,0
37,552,-160,3.9,239,-13.9,89.2,33,147.9,71.2,0
37,557,-160,3.7,246,-15.7,94.5,30,148.3,53.1,0
37,562,-160,2.9,248,-17.1,82.3,29,140.5,70.9,0
37,567,-160,4,251,-11,86,15,141.8,75.5,0
37.2,114,-67.9,2.2,188,-20.5,8.5,14,97.9,0.1,1
37.2,124,-78,5.3,170,-21.3,22,-4,108,1.1,1
37.2,128,-68.9,3.6,79,-8.5,7.4,-4,98.7,1.4,1
37.2,130,-63.6,2.2,96,-32.9,286.5,0,93.6,0.2,1
37.2,136,-76.8,4.4,80,-10.2,6.8,4,103.8,4.4,1
37.2,137,-67.9,0.6,201,-18.9,353.7,-10,97.9,0.1,1
37.2,145,-65.6,5.6,69,-4.6,326.7,-4,95.6,0.1,1
37.2,147,-74.3,5,117,-34.3,335.1,2,104.3,0.1,1
37.2,154,-75.2,2.5,84,-6.3,350.6,0,105.2,1.3,1
37.2,158,-71.2,1.2,102,-28.1,305.9,1,101.2,0.9,1
37.2,166,-79,5.4,142,-41.3,23.2,-2,109,1.5,1
37.2,236,-95.7,3.4,235,-13.9,69.9,34,125.7,9,0
37.2,239,-108.7,0.4,254,-15,101.5,21,130.7,13.8,0
37.2,243,-89.4,2.3,252,-14,92.4,25,119.3,4.3,1
37.2,306,-108.9,0.6,247,-12,81,26,134.4,46.7,0
37.2,308,-119.6,1.8,236,-17.4,69.6,21,143.2,73.9,0
37.2,311,-111.3,6.1,252,-14.3,81.2,18,136.2,50.2,0
37.2,313,-115.1,1.8,244,-14.8,72.1,50,143.3,80.7,0
37.2,316,-107.4,2.5,244,-14.2,81.1,17,135.3,44.8,0
37.2,319,-108.7,2.3,243,-14.1,75.1,25,136.3,48.4,0
37.2,321,-114.1,0.9,256,-14,73.4,43,142.2,77.2,0
37.2,324,-107.7,0.5,261,-13.7,77.2,25,137.2,49.7,0
37.2,327,-115.5,2.6,247,-14,74.9,19,137.8,53,0
37.2,329,-109.7,0.6,257,-18.1,85.1,16,136.4,55,0
37.2,332,-120,2.8,240,-8.7,84,38,145.9,95.7,0
37.2,335,-121.1,6.2,249,-19.5,71.8,30,141.6,83.2,0
37.2,337,-123.8,1.9,250,-13.8,83.9,10,142.6,78,0
37.2,340,-122.6,1.9,236,-13,71.9,27,130.9,21.8,0
37.2,343,-117.8,3.6,242,-15.5,73.1,34,132.7,37.1,0
37.2,345,-122.8,5.6,249,-13.3,84.9,25,126.9,19.7,0
37.2,348,-123,4.5,258,-11.4,91.3,23,124.7,8.6,0
37.2,351,-111.6,1.8,246,-18.2,76,33,138.9,70.3,0
37.2,354,-117,4.2,252,-11.5,81,30,136.8,51.9,0
37.2,356,-120.9,1.5,262,-14.9,73.5,19,142.4,84.1,0
37.2,359,-110.3,3.9,241,-14.4,83,20,135.7,52.8,0
37.2,434,-124.8,5.2,241,-9,86.1,22,138.3,67.3,0
37.2,437,-135.2,1.7,221,-14,62.7,23,148.5,47.2,0
37.2,441,-130.9,0.2,237,-17.6,70.6,29,129.9,18.2,0
37.2,444,-137.7,3.8,240,-15.3,66.1,33,130.7,16.5,0
37.2,448,-136.1,2.4,249,-12.7,90.1,24,121.5,6.9,0
37.2,452,-144.8,0.2,240,-18.4,80.4,22,139,65.7,0
37.2,456,-148.8,2.8,255,-8,63.6,51,147.6,50.4,0
37.2,461,-134.2,0.8,238,-14.9,78.5,17,139.1,64.7,0
37.2,465,-137.1,0.8,248,-17.8,80.6,26,136.4,52.8,0
37.2,469,-147.9,0.1,233,-11.5,79.8,32,138.5,33.1,0
37.2,474,-145.5,1.8,254,-14.8,66.4,16,146,64.5,0
37.2,478,-144.8,4.6,257,-13.7,94.2,21,125.1,8.6,0
37.2,483,-147,6.1,253,-9.1,102.9,18,139.1,34.3,0
37.2,488,-148.4,5.2,252,-12.9,79.6,16,139,58.3,0
37.2,492,-153.9,2.8,239,-15.9,70.2,20,142.5,78.2,0
37.2,497,-147.5,2.3,266,-12.4,81.2,25,142.6,81.8,0
37.2,502,-152.3,0.7,237,-12.9,69.5,33,126.6,11.3,0
37.2,507,-157.2,6.1,239,-13.9,85,21,138.2,66.9,0
37.2,511,-156.3,5.9,251,-14.1,59.3,19,145.9,57.1,0
37.2,516,-151.4,0.4,248,-12.5,90.9,32,126.8,9.7,0
37.2,521,-150.8,1.6,259,-11.7,75.5,24,138.2,55,0
37.2,526,-160,0.9,248,-13.6,66.8,16,145.6,76.7,0
37.2,531,-160,5.9,243,-13.2,79,20,135.4,44.8,0
37.2,536,-160,4.7,257,-16,80.9,38,146.2,82.7,0
37.2,541,-160,5.9,245,-20.2,89.5,23,131.2,19.1,0
37.2,547,-160,5.4,243,-18.2,57.8,14,148.2,42.9,0
37.2,552,-160,3.9,239,-13.9,89.2,33,144.9,63.5,0
37.2,557,-160,3.7,246,-15.7,94.5,30,127.3,9.6,0
37.2,562,-160,2.9,248,-17.1,82.3,29,135.4,45.8,0
37.2,567,-160,4,251,-11,86,15,136.9,46,0
37.5,123,-79.2,1.5,258,-20.8,78.3,14,108.7,13.9,1
37.5,128,-81.8,0.7,257,-17.8,91.6,-11,111.8,1.7,1
37.5,130,-80.6,3.4,261,-15.8,54,7,110.6,1.6,1
37.5,133,-81.7,5.5,245,-14.6,81.9,18,111.6,10,1
37.5,137,-82,5.1,271,-18.9,86,23,111.9,3.5,1
37.5,142,-83.6,4.7,242,-23.3,63,16,113.6,1,1
37.5,146,-84.8,1.1,248,-17.8,89.7,25,114.5,8.8,1
37.5,149,-90.5,0.5,253,-16.1,112.3,63,120.4,3.5,0
37.5,154,-77.2,4.2,263,-18,71.7,43,107.2,0.9,1
37.5,161,-82.1,2.7,242,-10.9,83.9,2,112.1,3.7,1
37.5,165,-84.3,5.8,234,-17.2,50.3,5,114.3,1.4,1
37.5,170,-85,4.6,261,-18.8,82.8,15,110.8,23,1
37.5,174,-93.5,5.9,265,-12.4,85.3,28,120.5,18.8,0
37.5,178,-91.1,4.5,263,-11.7,92.5,41,121,5.1,0
37.5,184,-104.9,0.5,257,-19,99.7,29,129.7,41.6,0
37.5,190,-94.7,6.1,257,-13.2,92,7,124.3,12.7,0
37.5,194,-102.2,6.2,246,-14.4,90.8,22,116.4,13.4,1
37.5,200,-99.8,3.2,251,-14.3,93.4,25,118.7,21.2,1
37.5,206,-94.7,1.1,241,-12.2,88.7,-6,119.8,21.7,1
37.5,235,-101.1,3.1,236,-15.2,72.9,31,130.7,22.8,0
37.5,239,-91.7,0.3,256,-16,105.5,21,121.6,18.8,0
37.5,242,-103.3,2.1,254,-14.9,96.2,24,123.8,39.5,0
37.5,304,-117.3,0.4,248,-12.7,83.7,24,116.8,12.8,1
37.5,307,-113.4,1.6,237,-18.6,71.6,19,127.6,30.6,0
37.5,310,-119.3,6,254,-15.1,83.6,17,116.3,19.9,1
37.5,311,-113.2,1.3,245,-15.9,75.3,47,135.8,64.7,0
37.5,315,-109.3,2.3,245,-15.1,83.6,16,112.5,10.3,1
37.5,317,-109.9,2.1,245,-15,77.3,23,117.2,17.8,1
37.5,319,-124.8,0.5,259,-15,76.3,40,113.8,2.5,1
37.5,323,-115.5,0.3,263,-14.6,79.9,23,120.8,22.3,0
37.5,326,-108.1,2.4,248,-15.1,77.2,18,115.2,16.5,1
37.5,329,-110.1,0.4,259,-19,87.5,16,115.9,25,1
37.5,330,-117.3,2.5,241,-9.2,87.1,36,138.8,63,0
37.5,333,-119.3,5.9,251,-20.9,74,28,135.3,52.7,0
37.5,337,-120,1.8,252,-14.7,86.5,9,124.1,28.2,0
37.5,339,-117.5,1.6,237,-14,73.9,26,131.1,57.1,0
37.5,341,-121.7,3.3,243,-16.4,75.3,32,135.1,56.7,0
37.5,344,-126.2,5.4,251,-14.2,87.8,24,116.6,13.5,1
37.5,347,-131.4,4.3,259,-11.9,93.9,22,130.5,41.1,0
37.5,349,-131.7,1.5,247,-19.2,78.3,31,131.8,32.7,0
37.5,352,-128.2,3.9,254,-12.1,83.3,29,127.7,18.9,0
37.5,355,-125.2,1.3,264,-15.5,75.2,18,118.1,19.2,1
37.5,358,-129.9,3.7,243,-15.1,85.2,19,113.8,9.8,1
37.5,433,-127.8,5,242,-9.4,88.2,21,121,13.4,0
37.5,436,-143.7,1.5,221,-14.8,63.7,22,147.2,15.4,0
37.5,439,-139.5,6.2,237,-18.5,72.1,28,132.7,39.3,0
37.5,442,-138.5,3.5,241,-16.2,67.4,32,135.6,44.2,0
37.5,447,-129.5,2.2,250,-13.2,92.1,23,118.2,18.5,1
37.5,451,-150,6.3,241,-19.2,82.2,21,117.5,10.1,1
37.5,454,-149.8,2.4,257,-8.3,65.1,49,132.8,7.4,0
37.5,460,-146.3,0.7,239,-15.6,80.2,17,117.3,9.8,1
37.5,464,-155.5,0.6,249,-18.5,82.4,25,117.9,12.6,1
37.5,468,-153.1,6.1,233,-12,81.7,31,139.6,45.5,0
37.5,473,-140.2,1.7,256,-15.5,67.5,15,126.8,12.1,0
37.5,477,-145.1,4.4,258,-14.4,96.6,20,128.8,45.5,0
37.5,482,-151.6,6,254,-9.4,104.9,18,128.3,14.7,0
37.5,487,-145.3,5,254,-13.5,81.3,15,116.5,18.8,1
37.5,491,-151.1,2.6,240,-16.7,71.5,19,125.9,26.5,0
37.5,496,-160,2.1,268,-12.8,82.8,24,118,13.7,1
37.5,500,-160,0.4,238,-13.6,70.8,32,131.9,28.3,0
37.5,506,-154.8,5.9,240,-14.5,86.8,20,118.3,10.6,1
37.5,510,-156.4,5.7,253,-14.8,60,18,133.8,15.7,0
37.5,515,-157.8,0.2,249,-13.1,93.1,31,122.7,16.4,0
37.5,520,-159.5,1.4,261,-12.1,76.8,23,126.5,27.3,0
37.5,525,-158.5,0.7,250,-14.2,67.9,16,130.8,25.4,0
37.5,530,-160,5.7,244,-13.7,80.4,19,112.2,10.3,1
37.5,534,-160,4.4,259,-16.6,82.8,37,127.5,14.1,0
37.5,540,-160,5.7,246,-20.9,91.2,23,117.1,7.8,1
37.5,546,-160,5.3,244,-19,58.4,13,119.6,2.1,1
37.5,550,-159.9,3.6,240,-14.5,91.2,32,130.2,14,0
37.5,556,-160,3.5,247,-16.4,96.6,29,122.8,15.6,0
37.5,561,-160,2.7,249,-17.8,84,28,119.2,9.3,1
37.5,567,-160,3.8,252,-11.3,87.4,15,122.4,19.8,0
37.9,122,-66.2,1.4,265,-24.5,84.9,12,94.6,21.7,1
37.9,128,-63.6,0.8,262,-20,98.1,-10,93.6,1.9,1
37.9,130,-58.5,3.3,267,-17.9,55.9,6,88.5,0.7,1
37.9,132,-50.5,5.3,249,-16.6,87.8,16,80.5,4.8,1
37.9,136,-64.8,4.9,277,-20.6,91.7,21,94.7,2.7,1
37.9,141,-74.2,4.6,245,-27.4,66.2,13,104.1,1.4,1
37.9,145,-67.1,0.9,251,-20,96,23,93.5,22.6,1
37.9,148,-72.4,0.2,257,-17.8,126.2,61,102.3,6.1,1
37.9,151,-84.4,3.8,269,-20.6,77.6,37,112.9,16.4,1
37.9,161,-69.9,2.7,244,-12.5,89.2,1,99.5,7.8,1
37.9,165,-68.4,5.7,235,-19.6,51.4,4,98.3,2.7,1
37.9,169,-66.7,4.4,266,-21.1,88.2,13,94.6,23.2,1
37.9,172,-78.7,5.6,269,-13.3,90.1,26,106.3,22.5,1
37.9,177,-73.5,4.2,266,-12.7,98.5,38,103.5,6.1,1
37.9,183,-76.6,0.3,261,-21.2,106.7,27,104.4,30.1,1
37.9,190,-87.4,6.1,260,-14.7,97.5,6,113.8,31.9,1
37.9,193,-82.5,6.1,249,-15.8,95.5,21,90.2,13,1
37.9,198,-78.7,3,254,-15.5,98.1,23,96.6,47.5,1
37.9,207,-87.2,1.2,243,-13.6,93.2,-5,106.3,16.9,1
37.9,233,-77.1,2.8,237,-16.6,76,28,106.8,27.3,1
37.9,238,-69.9,0.1,258,-17,109.6,20,99.5,13.6,1
37.9,241,-69.9,1.9,257,-15.9,100.2,23,98,42.7,1
37.9,303,-95.2,0.1,250,-13.5,86.5,23,88.3,6.8,1
37.9,306,-98.2,1.4,238,-19.9,73.7,18,116.1,78.5,1
37.9,309,-90.7,5.8,256,-15.9,86.1,16,86.5,5.9,1
37.9,309,-91.5,0.9,247,-17.1,78.6,44,110.6,48.6,1
37.9,314,-81.6,2.2,247,-16,86.1,15,81.5,6,1
37.9,316,-103.8,1.9,246,-15.9,79.7,22,93.5,11.6,1
37.9,317,-95.4,0.1,261,-16,79.4,38,117.4,69.9,1
37.9,321,-89.8,0.1,266,-15.6,82.7,22,108.8,51.4,1
37.9,325,-87.8,2.3,250,-16.2,79.6,17,89,9.5,1
37.9,328,-88.8,0.3,261,-19.8,89.9,15,97,25.4,1
37.9,328,-97.4,2.2,242,-9.7,90.2,35,120,75.6,1
37.9,332,-90.7,5.6,252,-22.4,76.4,26,112.8,76.8,1
37.9,336,-99.9,1.7,254,-15.7,89.3,9,90,5.4,1
37.9,337,-87.1,1.4,238,-15,76,24,108.7,48.8,1
37.9,339,-91.6,3,244,-17.3,77.6,30,110.1,67.2,1
37.9,343,-100,5.1,252,-15.2,90.8,22,87.9,8.8,1
37.9,346,-92.1,4.1,261,-12.5,96.5,22,104.4,43.9,1
37.9,348,-105.4,1.2,249,-20.2,80.6,30,109.9,48.9,1
37.9,351,-87.8,3.7,255,-12.7,85.8,28,104.7,49.1,1
37.9,354,-103.1,1.2,266,-16.2,77,17,111.4,41.8,1
37.9,357,-102.8,3.5,244,-16,87.6,18,84.4,6.1,1
37.9,432,-104.9,4.8,243,-9.8,90.2,21,93.2,6.9,1
37.9,435,-109.4,1.3,221,-15.6,64.7,20,134.9,142.1,0
37.9,437,-108.7,5.9,238,-19.4,73.7,27,108.7,32.5,1
37.9,441,-111.1,3.2,241,-17.1,68.8,30,113.2,57.3,1
37.9,446,-121.3,2,251,-13.8,94.2,23,92,18.6,1
37.9,450,-113.5,6.1,241,-20,84,20,92.1,8.2,1
37.9,451,-115.2,1.9,258,-8.6,66.7,47,126.4,55.1,0
37.9,459,-118.5,0.5,240,-16.2,81.9,16,94.9,11.7,1
37.9,462,-109,0.3,250,-19.2,84.1,24,91.1,7,1
37.9,466,-109.2,5.8,234,-12.6,83.7,30,117.2,34.9,1
37.9,472,-117.7,1.5,258,-16.3,68.7,14,117.4,39.6,1
37.9,476,-122.1,4.3,260,-15,99,19,101.5,40.7,1
37.9,481,-119,5.9,255,-9.7,106.9,18,107.6,25.6,1
37.9,486,-130.8,4.9,255,-14.1,83.1,14,89,7.1,1
37.9,490,-108.2,2.4,240,-17.5,72.8,18,114.7,76.5,1
37.9,494,-123.1,1.9,270,-13.1,84.3,24,109.5,40.9,1
37.9,498,-123.7,0.1,238,-14.3,72.2,30,109.7,31.6,1
37.9,505,-122.3,5.7,240,-15.2,88.7,19,91,7.3,1
37.9,509,-120.9,5.5,254,-15.5,60.7,17,113.5,21.4,1
37.9,513,-131.9,6.2,250,-13.6,95.4,30,105.4,37.9,1
37.9,519,-129.6,1.2,262,-12.4,78.2,23,116.7,72.8,1
37.9,524,-129.7,0.6,251,-14.9,69,15,111.1,21.1,1
37.9,529,-141.7,5.6,245,-14.2,81.9,19,87.9,8.5,1
37.9,533,-135.6,4,260,-17.3,84.9,35,117.8,68.8,1
37.9,539,-129.9,5.5,247,-21.6,92.9,22,91.4,6.7,1
37.9,545,-130,5.2,245,-19.9,59,13,111.6,10,1
37.9,549,-134.9,3.4,240,-15.1,93.3,31,117.8,35.2,1
37.9,554,-139.4,3.3,248,-17,98.8,29,102.9,30.1,1
37.9,559,-136.4,2.4,250,-18.6,85.8,27,97.2,11.6,1
37.9,566,-143,3.7,253,-11.7,88.9,14,86,4.7,1
38.2,122,-52.8,1.3,274,-28.5,92.7,10,82.8,1.7,1
38.2,129,-60.1,0.9,267,-22.1,104.9,-9,90.1,0.8,1
38.2,129,-73.2,3.3,274,-19.9,58,5,103.1,2.7,1
38.2,132,-66.3,5.2,253,-18.9,94.2,14,96,12.2,1
38.2,135,-69.9,4.7,283,-22.1,97.7,19,99.6,3.6,1
38.2,140,-67.2,4.4,248,-32.1,69.8,11,97.2,0.3,1
38.2,143,-70.1,0.7,255,-22.3,102.6,21,99,21.7,1
38.2,146,-54.5,6.3,260,-19.3,139,60,84.5,0.4,1
38.2,150,-69.8,3.5,277,-23.2,84.3,31,99.7,4.1,1
38.2,161,-62.4,2.7,247,-14.3,95,1,92.3,5.2,1
38.2,165,-66.4,5.7,237,-22.4,52.6,4,96.3,1.5,1
38.2,168,-77.7,4.3,272,-23.6,94.2,12,86.6,4.2,1
38.2,171,-79.7,5.4,274,-14.3,95,24,109.2,10.7,1
38.2,175,-67.3,3.9,271,-13.6,104.6,36,97.3,1.3,1
